N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,IR10C177/IR 07F289,IR10C171,494,in standardized format,"IR10C171",IR 07F291,495,"IR ^07F291	;unexpected space is found#IR 07F291	;string pattern not recognized #",N/A
N/A,IR10C177/IR 09F260,IR10C177,496,in standardized format,"IR10C177",IR 07F289,497,"IR ^07F289	;unexpected space is found#IR 07F289	;string pattern not recognized #",N/A
N/A,IR10C177/IR 09F209,IR10C177,498,in standardized format,"IR10C177",IR 09F260,499,"IR ^09F260	;unexpected space is found#IR 09F260	;string pattern not recognized #",N/A
N/A,IR10C177/IR 09F218,IR10C177,500,in standardized format,"IR10C177",IR 09F209,501,"IR ^09F209	;unexpected space is found#IR 09F209	;string pattern not recognized #",N/A
N/A,IR 8866-30-3-1-4-2/IR 09F291,IR10C177,502,in standardized format,"IR10C177",IR 09F218,503,"IR ^09F218	;unexpected space is found#IR 09F218	;string pattern not recognized #",N/A
N/A,IR 8866-30-3-1-4-2/IR 67495-NDR 2-1-1-1-1,IR 8866-30-3-1-4-2,504,in standardized format,"IR 8866#IR 8866-30#IR 8866-30-3#IR 8866-30-3-1#IR 8866-30-3-1-4#IR 8866-30-3-1-4-2",IR 09F291,505,"IR ^09F291	;unexpected space is found#IR 09F291	;string pattern not recognized #",N/A
N/A,IR 8866-30-3-1-4-2/ANJALI,IR 8866-30-3-1-4-2,506,in standardized format,"IR 8866#IR 8866-30#IR 8866-30-3#IR 8866-30-3-1#IR 8866-30-3-1-4#IR 8866-30-3-1-4-2",IR 67495-NDR 2-1-1-1-1,507,"IR 67495-NDR 2^-1-1-1-1	;string pattern not recognized. #",N/A
N/A,IR 8866-30-3-1-4-2/BR 11,IR 8866-30-3-1-4-2,508,in standardized format,"IR 8866#IR 8866-30#IR 8866-30-3#IR 8866-30-3-1#IR 8866-30-3-1-4#IR 8866-30-3-1-4-2",ANJALI,509,in standardized format,"ANJALI
IR 8866-30-3-1-4-2/BR 11"
N/A,N 22/IR 07F290,IR 8866-30-3-1-4-2,510,in standardized format,"IR 8866#IR 8866-30#IR 8866-30-3#IR 8866-30-3-1#IR 8866-30-3-1-4#IR 8866-30-3-1-4-2",BR 11,511,in standardized format,"BR 11
N 22/IR 07F290"
N/A,N 22/CT 9993-5-10-1-M,N 22,512,in standardized format,"N 22",IR 07F290,513,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
N/A,N 22/IR 71700-247-1-1-2,N 22,514,in standardized format,"N 22",IRRI 149,515,in standardized format,"IRRI 149
N 22/IR 71700-247-1-1-2"
N/A,PSB RC 94/IR 03L142,N 22,516,in standardized format,"N 22",IR 71700-247-1-1-2,517,in standardized format,"IR 71700#IR 71700-247#IR 71700-247-1#IR 71700-247-1-1#IR 71700-247-1-1-2
PSB RC 94/IR 03L142"
N/A,PSB RC 94/IRRI 148,PSB RC 94,518,in standardized format,"PSB RC 94",IR 03L142,519,"IR ^03L142	;unexpected space is found#IR 03L142	;string pattern not recognized #",N/A
N/A,PSB RC 94/IR 01A163,PSB RC 94,520,in standardized format,"PSB RC 94",IRRI 148,521,in standardized format,"IRRI 148
PSB RC 94/IR 01A163"
N/A,PSB RC 94/IR 77298-14-1-2-10,PSB RC 94,522,in standardized format,"PSB RC 94",IR 01A163,523,"IR ^01A163	;unexpected space is found#IR 01A163	;string pattern not recognized #",N/A
N/A,IR 13240-108-2-2-3/IR 77298-5-6-18,PSB RC 94,524,in standardized format,"PSB RC 94",IR 77298-14-1-2-10,525,in standardized format,"IR 77298#IR 77298-14#IR 77298-14-1#IR 77298-14-1-2#IR 77298-14-1-2-10
IR 13240-108-2-2-3/IR 77298-5-6-18"
N/A,IR 13240-108-2-2-3/IR 78875-176-B-2,IR 13240-108-2-2-3,526,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",IR 77298-5-6-18,527,in standardized format,"IR 77298#IR 77298-5#IR 77298-5-6#IR 77298-5-6-18
IR 13240-108-2-2-3/IR 78875-176-B-2"
N/A,IR 13240-108-2-2-3/IR 78875-190-B-1-3,IR 13240-108-2-2-3,528,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",IR 78875-176-B-2,529,in standardized format,"IR 78875#IR 78875-176#IR 78875-176-B#IR 78875-176-B-2
IR 13240-108-2-2-3/IR 78875-190-B-1-3"
N/A,IR 13240-108-2-2-3/IR 78908-143-B-4,IR 13240-108-2-2-3,530,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",IR 78875-190-B-1-3,531,in standardized format,"IR 78875#IR 78875-190#IR 78875-190-B#IR 78875-190-B-1#IR 78875-190-B-1-3
IR 13240-108-2-2-3/IR 78908-143-B-4"
N/A,SOM CAU 70 A/IR 78985-B-6-B-B-B,IR 13240-108-2-2-3,532,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",IR 78908-143-B-4,533,in standardized format,"IR 78908#IR 78908-143#IR 78908-143-B#IR 78908-143-B-4
SOM CAU 70 A/IR 78985-B-6-B-B-B"
N/A,SOM CAU 70 A/IR 79913-B-176-B-4,SOM CAU 70 A,534,in standardized format,"SOM CAU 70 A",IR 78985-B-6-B-B-B,535,in standardized format,"IR 78985#IR 78985-B#IR 78985-B-6#IR 78985-B-6-B#IR 78985-B-6-B-B#IR 78985-B-6-B-B-B
SOM CAU 70 A/IR 79913-B-176-B-4"
N/A,SOM CAU 70 A/IR 79971-B-369,SOM CAU 70 A,536,in standardized format,"SOM CAU 70 A",IR 79913-B-176-B-4,537,in standardized format,"IR 79913#IR 79913-B#IR 79913-B-176#IR 79913-B-176-B#IR 79913-B-176-B-4
SOM CAU 70 A/IR 79971-B-369"
N/A,SOM CAU 70 A/IR 79971-B-381,SOM CAU 70 A,538,in standardized format,"SOM CAU 70 A",IR 79971-B-369,539,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-369
SOM CAU 70 A/IR 79971-B-381"
N/A,SUPER BASMATI/IR 81039-B-173-U 3-3,SOM CAU 70 A,540,in standardized format,"SOM CAU 70 A",IR 79971-B-381,541,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-381
SUPER BASMATI/IR 81039-B-173-U 3-3"
N/A,SUPER BASMATI/IR 81063-B-94-U 3-1,SUPER BASMATI,542,in standardized format,"SUPER BASMATI",IR 81039-B-173-U 3-3,543,"IR 81039-B-173-U 3^-3	;string pattern not recognized. #",N/A
N/A,SUPER BASMATI/IR 68450-36-3-2-2-3,SUPER BASMATI,544,in standardized format,"SUPER BASMATI",IR 81063-B-94-U 3-1,545,"IR 81063-B-94-U 3^-1	;string pattern not recognized. #",N/A
N/A,SUPER BASMATI/IR 69428-6-1-1-3-3,SUPER BASMATI,546,in standardized format,"SUPER BASMATI",IR 68450-36-3-2-2-3,547,in standardized format,"IR 68450#IR 68450-36#IR 68450-36-3#IR 68450-36-3-2#IR 68450-36-3-2-2#IR 68450-36-3-2-2-3
SUPER BASMATI/IR 69428-6-1-1-3-3"
N/A,WAB 56-125/IR 69807-13-2-1,SUPER BASMATI,548,in standardized format,"SUPER BASMATI",IR 69428-6-1-1-3-3,549,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3
WAB 56-125/IR 69807-13-2-1"
N/A,SARO 5/IR 72870-19-2-2-3,SARO 5,550,in standardized format,"SARO 5",IR 72225-20-3-2-3,551,in standardized format,"IR 72225#IR 72225-20#IR 72225-20-3#IR 72225-20-3-2#IR 72225-20-3-2-3
SARO 5/IR 72870-19-2-2-3"
N/A,SARO 5/IR 72875-94-3-3-2,SARO 5,552,in standardized format,"SARO 5",IR 72870-19-2-2-3,553,in standardized format,"IR 72870#IR 72870-19#IR 72870-19-2#IR 72870-19-2-2#IR 72870-19-2-2-3
SARO 5/IR 72875-94-3-3-2"
N/A,SARO 5/IR 72903-121-2-1-2,SARO 5,554,in standardized format,"SARO 5",IR 72875-94-3-3-2,555,in standardized format,"IR 72875#IR 72875-94#IR 72875-94-3#IR 72875-94-3-3#IR 72875-94-3-3-2
SARO 5/IR 72903-121-2-1-2"
N/A,AGAMI M 1/IR 72967-12-2-3,SARO 5,556,in standardized format,"SARO 5",IR 72903-121-2-1-2,557,in standardized format,"IR 72903#IR 72903-121#IR 72903-121-2#IR 72903-121-2-1#IR 72903-121-2-1-2
AGAMI M 1/IR 72967-12-2-3"
N/A,AGAMI M 1/IR 72969-143-5-3-6-2,AGAMI M 1,558,in standardized format,"AGAMI M 1",IR 72967-12-2-3,559,in standardized format,"IR 72967#IR 72967-12#IR 72967-12-2#IR 72967-12-2-3
AGAMI M 1/IR 72969-143-5-3-6-2"
N/A,AGAMI M 1/IR 73006-12-3-3-2,AGAMI M 1,560,in standardized format,"AGAMI M 1",IR 72969-143-5-3-6-2,561,in standardized format,"IR 72969#IR 72969-143#IR 72969-143-5#IR 72969-143-5-3#IR 72969-143-5-3-6#IR 72969-143-5-3-6-2
AGAMI M 1/IR 73006-12-3-3-2"
N/A,AGAMI M 1/IR 73012-137-2-2-2,AGAMI M 1,562,in standardized format,"AGAMI M 1",IR 73006-12-3-3-2,563,in standardized format,"IR 73006#IR 73006-12#IR 73006-12-3#IR 73006-12-3-3#IR 73006-12-3-3-2
AGAMI M 1/IR 73012-137-2-2-2"
N/A,ARANG/IR 00A115,AGAMI M 1,564,in standardized format,"AGAMI M 1",IR 73012-137-2-2-2,565,in standardized format,"IR 73012#IR 73012-137#IR 73012-137-2#IR 73012-137-2-2#IR 73012-137-2-2-2
ARANG/IR 00A115"
N/A,ARANG/IR 73720-36-3-3-1,ARANG,566,in standardized format,"ARANG",IR 00A115,567,"IR ^00A115	;unexpected space is found#IR 00A115	;string pattern not recognized #",N/A
N/A,ARANG/IR 00A117,ARANG,568,in standardized format,"ARANG",IR 73720-36-3-3-1,569,in standardized format,"IR 73720#IR 73720-36#IR 73720-36-3#IR 73720-36-3-3#IR 73720-36-3-3-1
ARANG/IR 00A117"
N/A,ARANG/IR 01A111,ARANG,570,in standardized format,"ARANG",IR 00A117,571,"IR ^00A117	;unexpected space is found#IR 00A117	;string pattern not recognized #",N/A
N/A,IRRI 148/IR 01N223,ARANG,572,in standardized format,"ARANG",IR 01A111,573,"IR ^01A111	;unexpected space is found#IR 01A111	;string pattern not recognized #",N/A
N/A,IRRI 148/IR 02N200,IRRI 148,574,in standardized format,"IRRI 148",IR 01N223,575,"IR ^01N223	;unexpected space is found#IR 01N223	;string pattern not recognized #",N/A
N/A,IRRI 148/IR 02N211,IRRI 148,576,in standardized format,"IRRI 148",IR 02N200,577,"IR ^02N200	;unexpected space is found#IR 02N200	;string pattern not recognized #",N/A
N/A,IRRI 148/IR 02A201,IRRI 148,578,in standardized format,"IRRI 148",IR 02N211,579,"IR ^02N211	;unexpected space is found#IR 02N211	;string pattern not recognized #",N/A
N/A,IR08L216/IR 75862-206-2-8-3-B-B-B,IRRI 148,580,in standardized format,"IRRI 148",IR 02A201,581,"IR ^02A201	;unexpected space is found#IR 02A201	;string pattern not recognized #",N/A
N/A,IR08L216/IRRI 146,IR08L216,582,in standardized format,"IR08L216",IR 75862-206-2-8-3-B-B-B,583,in standardized format,"IR 75862#IR 75862-206#IR 75862-206-2#IR 75862-206-2-8#IR 75862-206-2-8-3#IR 75862-206-2-8-3-B#IR 75862-206-2-8-3-B-B#IR 75862-206-2-8-3-B-B-B
IR08L216/IRRI 146"
N/A,IR08L216/IRRI 143,IR08L216,584,in standardized format,"IR08L216",IRRI 146,585,in standardized format,"IRRI 146
IR08L216/IRRI 143"
N/A,IR08L216/IR 03A477,IR08L216,586,in standardized format,"IR08L216",IRRI 143,587,in standardized format,"IRRI 143
IR08L216/IR 03A477"
N/A,IR09L179/IR 04A213,IR08L216,588,in standardized format,"IR08L216",IR 03A477,589,"IR ^03A477	;unexpected space is found#IR 03A477	;string pattern not recognized #",N/A
N/A,IR09L179/IR 03A550,IR09L179,590,in standardized format,"IR09L179",IR 04A213,591,"IR ^04A213	;unexpected space is found#IR 04A213	;string pattern not recognized #",N/A
N/A,IR09L179/IR 03A568,IR09L179,592,in standardized format,"IR09L179",IR 03A550,593,"IR ^03A550	;unexpected space is found#IR 03A550	;string pattern not recognized #",N/A
N/A,IR09L179/IR 04A285,IR09L179,594,in standardized format,"IR09L179",IR 03A568,595,"IR ^03A568	;unexpected space is found#IR 03A568	;string pattern not recognized #",N/A
N/A,IR11L230/IRRI 154,IR09L179,596,in standardized format,"IR09L179",IR 04A285,597,"IR ^04A285	;unexpected space is found#IR 04A285	;string pattern not recognized #",N/A
N/A,IR11L230/IR 04A427,IR11L230,598,in standardized format,"IR11L230",IRRI 154,599,in standardized format,"IRRI 154
IR11L230/IR 04A427"
N/A,IR11L230/IR 05A117,IR11L230,600,in standardized format,"IR11L230",IR 04A427,601,"IR ^04A427	;unexpected space is found#IR 04A427	;string pattern not recognized #",N/A
N/A,IR11L230/IR 05A125,IR11L230,602,in standardized format,"IR11L230",IR 05A117,603,"IR ^05A117	;unexpected space is found#IR 05A117	;string pattern not recognized #",N/A
N/A,IR11L261/IR 05N128,IR11L230,604,in standardized format,"IR11L230",IR 05A125,605,"IR ^05A125	;unexpected space is found#IR 05A125	;string pattern not recognized #",N/A
N/A,IR11L261/IR 05N160,IR11L261,606,in standardized format,"IR11L261",IR 05N128,607,"IR ^05N128	;unexpected space is found#IR 05N128	;string pattern not recognized #",N/A
N/A,IR11L261/IR 05N170,IR11L261,608,in standardized format,"IR11L261",IR 05N160,609,"IR ^05N160	;unexpected space is found#IR 05N160	;string pattern not recognized #",N/A
N/A,IR11L261/IR 05N173,IR11L261,610,in standardized format,"IR11L261",IR 05N170,611,"IR ^05N170	;unexpected space is found#IR 05N170	;string pattern not recognized #",N/A
N/A,IR 88288-10-4-1-4/IR 05N181,IR11L261,612,in standardized format,"IR11L261",IR 05N173,613,"IR ^05N173	;unexpected space is found#IR 05N173	;string pattern not recognized #",N/A
N/A,IR 88288-10-4-1-4/IR 05N204,IR 88288-10-4-1-4,614,in standardized format,"IR 88288#IR 88288-10#IR 88288-10-4#IR 88288-10-4-1#IR 88288-10-4-1-4",IR 05N181,615,"IR ^05N181	;unexpected space is found#IR 05N181	;string pattern not recognized #",N/A
N/A,IR 88288-10-4-1-4/IR 06M138,IR 88288-10-4-1-4,616,in standardized format,"IR 88288#IR 88288-10#IR 88288-10-4#IR 88288-10-4-1#IR 88288-10-4-1-4",IR 05N204,617,"IR ^05N204	;unexpected space is found#IR 05N204	;string pattern not recognized #",N/A
N/A,IR 88288-10-4-1-4/IR 06M139,IR 88288-10-4-1-4,618,in standardized format,"IR 88288#IR 88288-10#IR 88288-10-4#IR 88288-10-4-1#IR 88288-10-4-1-4",IR 06M138,619,"IR ^06M138	;unexpected space is found#IR 06M138	;string pattern not recognized #",N/A
N/A,IR 90265-B-551-1/IR 06M146,IR 88288-10-4-1-4,620,in standardized format,"IR 88288#IR 88288-10#IR 88288-10-4#IR 88288-10-4-1#IR 88288-10-4-1-4",IR 06M139,621,"IR ^06M139	;unexpected space is found#IR 06M139	;string pattern not recognized #",N/A
N/A,IR 90265-B-551-1/IR 06N156,IR 90265-B-551-1,622,in standardized format,"IR 90265#IR 90265-B#IR 90265-B-551#IR 90265-B-551-1",IR 06M146,623,"IR ^06M146	;unexpected space is found#IR 06M146	;string pattern not recognized #",N/A
N/A,IR 90265-B-551-1/JORYEONGBYEO,IR 90265-B-551-1,624,in standardized format,"IR 90265#IR 90265-B#IR 90265-B-551#IR 90265-B-551-1",IR 06N156,625,"IR ^06N156	;unexpected space is found#IR 06N156	;string pattern not recognized #",N/A
N/A,IR 90265-B-551-1/IR 49830-7-1-2-3,IR 90265-B-551-1,626,in standardized format,"IR 90265#IR 90265-B#IR 90265-B-551#IR 90265-B-551-1",JORYEONGBYEO,627,in standardized format,"JORYEONGBYEO
IR 90265-B-551-1/IR 49830-7-1-2-3"
N/A,IR 90266-B-228-1/IR 70181-32-PMI 1-1-5-1,IR 90265-B-551-1,628,in standardized format,"IR 90265#IR 90265-B#IR 90265-B-551#IR 90265-B-551-1",IR 49830-7-1-2-3,629,in standardized format,"IR 49830#IR 49830-7#IR 49830-7-1#IR 49830-7-1-2#IR 49830-7-1-2-3
IR 90266-B-228-1/IR 70181-32-PMI 1-1-5-1"
N/A,IR 90266-B-228-1/IR 05F102,IR 90266-B-228-1,630,in standardized format,"IR 90266#IR 90266-B#IR 90266-B-228#IR 90266-B-228-1",IR 70181-32-PMI 1-1-5-1,631,in standardized format,"IR 70181#IR 70181-32#IR 70181-32-PMI 1#IR 70181-32-PMI 1-1#IR 70181-32-PMI 1-1-5#IR 70181-32-PMI 1-1-5-1
IR 90266-B-228-1/IR 05F102"
N/A,IR 90266-B-228-1/IR 09F120,IR 90266-B-228-1,632,in standardized format,"IR 90266#IR 90266-B#IR 90266-B-228#IR 90266-B-228-1",IR 05F102,633,"IR ^05F102	;unexpected space is found#IR 05F102	;string pattern not recognized #",N/A
N/A,IR 90266-B-228-1/IR 09F128,IR 90266-B-228-1,634,in standardized format,"IR 90266#IR 90266-B#IR 90266-B-228#IR 90266-B-228-1",IR 09F120,635,"IR ^09F120	;unexpected space is found#IR 09F120	;string pattern not recognized #",N/A
N/A,IR 74371-70-1-1/IRRI 149,IR 90266-B-228-1,636,in standardized format,"IR 90266#IR 90266-B#IR 90266-B-228#IR 90266-B-228-1",IR 09F128,637,"IR ^09F128	;unexpected space is found#IR 09F128	;string pattern not recognized #",N/A
N/A,IR 74371-70-1-1/IR 07F287,IR 74371-70-1-1,638,in standardized format,"IR 74371#IR 74371-70#IR 74371-70-1#IR 74371-70-1-1",IRRI 149,639,in standardized format,"IRRI 149
IR 74371-70-1-1/IR 07F287"
N/A,IR 74371-70-1-1/IR 09F146,IR 74371-70-1-1,640,in standardized format,"IR 74371#IR 74371-70#IR 74371-70-1#IR 74371-70-1-1",IR 07F287,641,"IR ^07F287	;unexpected space is found#IR 07F287	;string pattern not recognized #",N/A
N/A,IR 74371-70-1-1/IR 09F154,IR 74371-70-1-1,642,in standardized format,"IR 74371#IR 74371-70#IR 74371-70-1#IR 74371-70-1-1",IR 09F146,643,"IR ^09F146	;unexpected space is found#IR 09F146	;string pattern not recognized #",N/A
N/A,MR 219/IR 09F230,IR 74371-70-1-1,644,in standardized format,"IR 74371#IR 74371-70#IR 74371-70-1#IR 74371-70-1-1",IR 09F154,645,"IR ^09F154	;unexpected space is found#IR 09F154	;string pattern not recognized #",N/A
N/A,MR 219/IR 09F226,MR 219,646,in standardized format,"MR 219",IR 09F230,647,"IR ^09F230	;unexpected space is found#IR 09F230	;string pattern not recognized #",N/A
N/A,MR 219/IR 09F237,MR 219,648,in standardized format,"MR 219",IR 09F226,649,"IR ^09F226	;unexpected space is found#IR 09F226	;string pattern not recognized #",N/A
N/A,MR 219/IR 09F238,MR 219,650,in standardized format,"MR 219",IR 09F237,651,"IR ^09F237	;unexpected space is found#IR 09F237	;string pattern not recognized #",N/A
N/A,N 22/IR 07F290,MR 219,652,in standardized format,"MR 219",IR 09F238,653,"IR ^09F238	;unexpected space is found#IR 09F238	;string pattern not recognized #",N/A
N/A,N 22/IR 07F291,N 22,654,in standardized format,"N 22",IR 07F290,655,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
N/A,N 22/IR 07F289,N 22,656,in standardized format,"N 22",IR 07F291,657,"IR ^07F291	;unexpected space is found#IR 07F291	;string pattern not recognized #",N/A
N/A,N 22/IR 09F260,N 22,658,in standardized format,"N 22",IR 07F289,659,"IR ^07F289	;unexpected space is found#IR 07F289	;string pattern not recognized #",N/A
N/A,SAMBHA MAHSURI/IR 09F209,N 22,660,in standardized format,"N 22",IR 09F260,661,"IR ^09F260	;unexpected space is found#IR 09F260	;string pattern not recognized #",N/A
N/A,SAMBHA MAHSURI/IR 09F218,SAMBHA MAHSURI,662,in standardized format,"SAMBHA MAHSURI",IR 09F209,663,"IR ^09F209	;unexpected space is found#IR 09F209	;string pattern not recognized #",N/A
N/A,SAMBHA MAHSURI/IR 09F291,SAMBHA MAHSURI,664,in standardized format,"SAMBHA MAHSURI",IR 09F218,665,"IR ^09F218	;unexpected space is found#IR 09F218	;string pattern not recognized #",N/A
N/A,SAMBHA MAHSURI/IR 67495-NDR 2-1-1-1-1,SAMBHA MAHSURI,666,in standardized format,"SAMBHA MAHSURI",IR 09F291,667,"IR ^09F291	;unexpected space is found#IR 09F291	;string pattern not recognized #",N/A
N/A,VANDANA/ANJALI,SAMBHA MAHSURI,668,in standardized format,"SAMBHA MAHSURI",IR 67495-NDR 2-1-1-1-1,669,"IR 67495-NDR 2^-1-1-1-1	;string pattern not recognized. #",N/A
N/A,VANDANA/BR 11,VANDANA,670,in standardized format,"VANDANA",ANJALI,671,in standardized format,"ANJALI
VANDANA/BR 11"
N/A,VANDANA/IR 07F290,VANDANA,672,in standardized format,"VANDANA",BR 11,673,in standardized format,"BR 11
VANDANA/IR 07F290"
N/A,VANDANA/CT 9993-5-10-1-M,VANDANA,674,in standardized format,"VANDANA",IR 07F290,675,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
N/A,IR 67962-84-2-2-2/IR 77298-14-1-2-10,IR 67962-84-2-2-2,676,in standardized format,"IR 67962#IR 67962-84#IR 67962-84-2#IR 67962-84-2-2#IR 67962-84-2-2-2",IR 01A163,677,"IR ^01A163	;unexpected space is found#IR 01A163	;string pattern not recognized #",N/A
N/A,IR 67962-84-2-2-2/IR 77298-5-6-18,IR 67962-84-2-2-2,678,in standardized format,"IR 67962#IR 67962-84#IR 67962-84-2#IR 67962-84-2-2#IR 67962-84-2-2-2",IR 77298-14-1-2-10,679,in standardized format,"IR 77298#IR 77298-14#IR 77298-14-1#IR 77298-14-1-2#IR 77298-14-1-2-10
IR 67962-84-2-2-2/IR 77298-5-6-18"
N/A,IR 67962-84-2-2-2/IR 78875-176-B-2,IR 67962-84-2-2-2,680,in standardized format,"IR 67962#IR 67962-84#IR 67962-84-2#IR 67962-84-2-2#IR 67962-84-2-2-2",IR 77298-5-6-18,681,in standardized format,"IR 77298#IR 77298-5#IR 77298-5-6#IR 77298-5-6-18
IR 67962-84-2-2-2/IR 78875-176-B-2"
N/A,IR 67966-44-2-3/IR 78875-190-B-1-3,IR 67962-84-2-2-2,682,in standardized format,"IR 67962#IR 67962-84#IR 67962-84-2#IR 67962-84-2-2#IR 67962-84-2-2-2",IR 78875-176-B-2,683,in standardized format,"IR 78875#IR 78875-176#IR 78875-176-B#IR 78875-176-B-2
IR 67966-44-2-3/IR 78875-190-B-1-3"
N/A,IR 67966-44-2-3/IR 78908-143-B-4,IR 67966-44-2-3,684,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3",IR 78875-190-B-1-3,685,in standardized format,"IR 78875#IR 78875-190#IR 78875-190-B#IR 78875-190-B-1#IR 78875-190-B-1-3
IR 67966-44-2-3/IR 78908-143-B-4"
N/A,IR 67966-44-2-3/IR 78985-B-6-B-B-B,IR 67966-44-2-3,686,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3",IR 78908-143-B-4,687,in standardized format,"IR 78908#IR 78908-143#IR 78908-143-B#IR 78908-143-B-4
IR 67966-44-2-3/IR 78985-B-6-B-B-B"
N/A,IR 67966-44-2-3/IR 79913-B-176-B-4,IR 67966-44-2-3,688,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3",IR 78985-B-6-B-B-B,689,in standardized format,"IR 78985#IR 78985-B#IR 78985-B-6#IR 78985-B-6-B#IR 78985-B-6-B-B#IR 78985-B-6-B-B-B
IR 67966-44-2-3/IR 79913-B-176-B-4"
N/A,IR07N112/IR 79971-B-369,IR 67966-44-2-3,690,in standardized format,"IR 67966#IR 67966-44#IR 67966-44-2#IR 67966-44-2-3",IR 79913-B-176-B-4,691,in standardized format,"IR 79913#IR 79913-B#IR 79913-B-176#IR 79913-B-176-B#IR 79913-B-176-B-4
IR07N112/IR 79971-B-369"
N/A,IR07N112/IR 79971-B-381,IR07N112,692,in standardized format,"IR07N112",IR 79971-B-369,693,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-369
IR07N112/IR 79971-B-381"
N/A,IR07N112/IR 81039-B-173-U 3-3,IR07N112,694,in standardized format,"IR07N112",IR 79971-B-381,695,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-381
IR07N112/IR 81039-B-173-U 3-3"
N/A,IR07N112/IR 81063-B-94-U 3-1,IR07N112,696,in standardized format,"IR07N112",IR 81039-B-173-U 3-3,697,"IR 81039-B-173-U 3^-3	;string pattern not recognized. #",N/A
N/A,IR08N121/IR 68450-36-3-2-2-3,IR07N112,698,in standardized format,"IR07N112",IR 81063-B-94-U 3-1,699,"IR 81063-B-94-U 3^-1	;string pattern not recognized. #",N/A
N/A,IR08N121/IR 69428-6-1-1-3-3,IR08N121,700,in standardized format,"IR08N121",IR 68450-36-3-2-2-3,701,in standardized format,"IR 68450#IR 68450-36#IR 68450-36-3#IR 68450-36-3-2#IR 68450-36-3-2-2#IR 68450-36-3-2-2-3
IR08N121/IR 69428-6-1-1-3-3"
N/A,IR08N121/IR 69807-13-2-1,IR08N121,702,in standardized format,"IR08N121",IR 69428-6-1-1-3-3,703,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3
IR08N121/IR 69807-13-2-1"
N/A,IR08N121/IR 70114-5-3-3-3,IR08N121,704,in standardized format,"IR08N121",IR 69807-13-2-1,705,in standardized format,"IR 69807#IR 69807-13#IR 69807-13-2#IR 69807-13-2-1
IR08N121/IR 70114-5-3-3-3"
N/A,IR 69428-6-1-1-3-3/IR 01W102,IR08N121,706,in standardized format,"IR08N121",IR 70114-5-3-3-3,707,in standardized format,"IR 70114#IR 70114-5#IR 70114-5-3#IR 70114-5-3-3#IR 70114-5-3-3-3
IR 69428-6-1-1-3-3/IR 01W102"
N/A,IR 69428-6-1-1-3-3/IRRI 145,IR 69428-6-1-1-3-3,708,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3",IR 01W102,709,"IR ^01W102	;unexpected space is found#IR 01W102	;string pattern not recognized #",N/A
N/A,IR 69428-6-1-1-3-3/IR 71146-97-1-2-1-3,IR 69428-6-1-1-3-3,710,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3",IRRI 145,711,in standardized format,"IRRI 145
IR 69428-6-1-1-3-3/IR 71146-97-1-2-1-3"
N/A,IR 69428-6-1-1-3-3/IR 71676-90-2-2,IR 69428-6-1-1-3-3,712,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3",IR 71146-97-1-2-1-3,713,in standardized format,"IR 71146#IR 71146-97#IR 71146-97-1#IR 71146-97-1-2#IR 71146-97-1-2-1#IR 71146-97-1-2-1-3
IR 69428-6-1-1-3-3/IR 71676-90-2-2"
